Country;League;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Number of Points - INTERVAL;Winning Margin
USA;NCAAB 2008/2009;21/11/2008;Regular Season;Arkansas;68;59;Uc Davis;;-909;500;Home;127;121 | 130;6 to 10
USA;NCAAB 2008/2009;21/11/2008;Regular Season;Oklahoma State;91;73;Tulsa;;-455;250;Home;164;161 | 170;16 to 20
USA;NCAAB 2008/2009;21/11/2008;Regular Season;Vanderbilt;63;69;Illinois;;-278;229;Away;132;131 | 140;6 to 10
USA;NCAAB 2008/2009;20/11/2008;Regular Season;St. Louis Billikens;74;76;Kent State;OT;104;-125;Draw;150;141 | 150;1 to 5
USA;NCAAB 2008/2009;20/11/2008;Regular Season;Tcu;50;62;Nebraska;;179;-222;Away;112;111 | 120;11 to 15
USA;NCAAB 2008/2009;20/11/2008;Regular Season;Butler;64;55;Ball State;;-1429;700;Home;119;111 | 120;6 to 10
USA;NCAAB 2008/2009;20/11/2008;Regular Season;Virginia;77;75;South Florida;;-345;280;Home;152;151 | 160;1 to 5
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Evansville;64;49;Buffalo;;-263;220;Home;113;111 | 120;11 to 15
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Missouri State;62;57;Arkansas;;-159;140;Home;119;111 | 120;1 to 5
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Illinois (Chi.);63;67;Depaul;;-141;120;Away;130;121 | 130;1 to 5
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Detroit;62;47;Eastern Michigan;;-130;110;Home;109;101 | 110;11 to 15
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Brown;64;73;Northwestern;;170;-200;Away;137;131 | 140;6 to 10
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Charlotte;70;71;Clemson;;154;-175;Away;141;141 | 150;1 to 5
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Cleveland State;59;69;Kansas State;;-125;110;Away;128;121 | 130;6 to 10
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Rhode Island;92;86;Vcu Rams;;-125;104;Home;178;171 | 180;6 to 10
USA;NCAAB 2008/2009;22/11/2008;Regular Season;East Carolina;71;77;George Mason;;200;-238;Away;148;141 | 150;6 to 10
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Colorado;70;57;Harvard;;-833;500;Home;127;121 | 130;11 to 15
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Old Dominion;62;77;Uab;;-130;110;Away;139;131 | 140;11 to 15
USA;NCAAB 2008/2009;22/11/2008;Regular Season;San Diego State;80;56;Fresno State;;-3333;700;Home;136;131 | 140;21 to 25
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Auburn;83;71;George Washington;;-250;210;Home;154;151 | 160;11 to 15
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Central Michigan;70;68;Wright State;OT;145;-164;Draw;138;131 | 140;1 to 5
USA;NCAAB 2008/2009;22/11/2008;Regular Season;St. Louis Billikens;53;50;Boston College;;-105;-115;Home;103;101 | 110;1 to 5
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Georgetown;81;53;Drexel;;-5000;1800;Home;134;131 | 140;At least 26
