,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nfl.g.20250105013,2025-01-05-08:00,LA Chargers,Las Vegas,"-7, O/U 42",42,53.68,47.44,-110.0,1.910,True,42,46.32,52.56,-110.0,1.910,False,-350.0,1.300,88.15,83.68,True,260.0,3.600,11.85,16.32,False,-7,-105.0,1.950,88.8,80.53,True,7,-115.0,1.870,11.2,19.47,False
0,nfl.g.20250105014,2025-01-05-08:00,Seattle,LA Rams,"-7.5, O/U 38.5",38.5,54.97,56.7,-110.0,1.910,True,38.5,45.03,43.3,-110.0,1.910,False,-350.0,1.280,36.28,73.52,True,275.0,3.750,63.72,26.48,False,-7.5,-105.0,1.950,48.3,42.15,False,7.5,-115.0,1.870,51.7,57.85,True
0,nfl.g.20250105017,2025-01-05-08:00,Buffalo,New England,"-3.5, O/U 36.5",36.5,78.71,85.05,-115.0,1.870,True,36.5,21.29,14.95,-105.0,1.950,False,-175.0,1.570,96.47,84.22,False,145.0,2.450,3.53,15.78,True,-3.5,100.0,2.000,61.56,69.99,False,3.5,-120.0,1.830,38.44,30.01,True
0,nfl.g.20250105020,2025-01-05-08:00,Miami,NY Jets,"-2, O/U 39.5",39.5,44.15,51.09,-110.0,1.910,True,39.5,55.85,48.91,-110.0,1.910,False,110.0,2.100,84.92,56.01,False,-130.0,1.770,15.08,43.99,True,2,-110.0,1.910,55.16,70.0,False,-2,-110.0,1.910,44.84,30.0,True
0,nfl.g.20250105021,2025-01-05-08:00,NY Giants,Philadelphia,"-3, O/U 36",36,69.53,85.0,-110.0,1.910,False,36,30.47,15.0,-110.0,1.910,True,135.0,2.350,2.36,8.88,False,-160.0,1.620,97.64,91.12,True,3,-110.0,1.910,52.37,28.23,False,-3,-110.0,1.910,47.63,71.77,True
0,nfl.g.20250105022,2025-01-05-08:00,San Francisco,Arizona,"-4.5, O/U 43",43,86.21,87.18,-110.0,1.910,True,43,13.79,12.82,-110.0,1.910,False,170.0,2.700,44.25,24.47,False,-210.0,1.480,55.75,75.53,True,4.5,-110.0,1.910,45.73,58.96,False,-4.5,-110.0,1.910,54.27,41.04,True
0,nfl.g.20250105027,2025-01-05-08:00,New Orleans,Tampa Bay,"-14.5, O/U 45",45,90.5,81.79,-110.0,1.910,True,45,9.5,18.21,-110.0,1.910,False,850.0,9.500,11.7,4.29,False,-1400.0,1.070,88.3,95.71,True,14.5,-110.0,1.910,16.49,15.93,True,-14.5,-110.0,1.910,83.51,84.07,False
0,nfl.g.20250904021,2025-09-04-07:00,Dallas,Philadelphia,"-8, O/U 47.5",36.5,67.03,18.42,-500.0,1.200,True,36.5,32.97,81.58,340.0,4.400,False,350.0,4.500,28.92,5.96,False,-450.0,1.220,71.08,94.04,True,8,-102.0,1.980,26.17,36.22,True,-8,-102.0,1.980,73.83,63.78,False
0,nfl.g.20250905024,2025-09-05-07:00,Kansas City,LA Chargers,"-3, O/U 47.5",47.5,47.09,11.32,-110.0,1.910,True,47.5,52.91,88.68,-110.0,1.910,False,-165.0,1.600,73.82,87.55,False,140.0,2.400,26.18,12.45,True,-3,-105.0,1.950,37.71,49.42,False,3,100.0,2.000,62.29,50.58,True
0,nfl.g.20250907001,2025-09-07-07:00,Tampa Bay,Atlanta,"-1, O/U 47.5",47.5,30.15,16.11,-110.0,1.910,False,47.5,69.85,83.89,-110.0,1.910,True,-115.0,1.870,92.21,65.78,True,-105.0,1.950,7.79,34.22,False,-1,-105.0,1.950,24.96,29.96,True,1,-115.0,1.870,75.04,70.04,False
